geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Crestview-Fort Walton Beach-Destin,FL,Metro,310M400US18880,224551,4.4,81.4,8.5,0.7,1.2,1.9,6.2,24.7,5.9,3.5,9.2,9.5,12.5,18.2,12.7,17.3,6.4,4.7,63710,19930,34.5,26.8,30396,69.7,36,10.9,8.6
Cullman,AL,Micro,310M400US18980,66680,4.3,89.3,9.2,0,0.4,0.2,0.9,25.4,6.9,7.1,11.7,13.2,16.3,16.7,10.9,9.9,4.2,3,44612,22973,40.2,18.2,21455,65.8,38.5,10.1,12.3
Cumberland,MD-WV,Metro,310M400US19060,82599,8.6,83.7,8.4,1.1,4.1,0.5,2.3,24.2,8.1,7,12.6,13.6,13.1,19,12.1,9.7,2.5,2.2,44607,14121,40,27,17788,67.2,49.8,3.5,13.2
Dallas-Fort Worth-Arlington,TX,Metro,310M400US19100,5808669,4.3,80.8,9.5,1.3,1.3,1.3,5.8,28.5,4.7,3,7.2,8.2,12.2,18.2,12.7,16.8,7.9,9.1,69445,27453,22.1,12.9,27434,65.4,24.9,17.1,8.2
Dalton,GA,Metro,310M400US19140,111877,5.9,88.1,8.7,0,0.8,0.4,2.2,23.1,4.8,6,12.9,14.1,16.9,18.5,11.5,10.7,2,2.6,45326,14145,30.4,9.1,24501,60.9,31.1,16.1,9.8
Danville,IL,Metro,310M400US19180,60826,8.1,80.8,8.6,0.5,1.3,1.1,7.7,19.9,10,7.3,11.4,10.5,16.9,16.3,12.5,10.6,2.9,1.4,43655,14444,41,26.8,20380,61.1,46.8,6.2,15.1
Danville,VA,Micro,310M400US19260,83223,6.6,84.6,7.5,2.1,1,1.8,3,21.5,10.7,8.3,12.9,12,19.6,17.1,7.9,8.5,1.2,1.9,39512,12608,44.3,25.6,19745,60.2,47.2,10,17
Daphne-Fairhope-Foley,AL,Metro,310M400US19300,176222,2.4,85.1,6.1,0,0.7,2.4,5.7,28.1,5.9,3.2,9.6,12,13.1,19.5,12.1,12.4,6,6.2,56813,23438,40.7,25.7,27136,68.1,36.3,13.2,6.4
Davenport-Moline-Rock Island,IA-IL,Metro,310M400US19340,302639,5,87.9,6.5,0.5,1.3,0.8,2.9,19.9,5.8,4.7,9.5,11.1,13.9,18.1,14,13.9,5,4,55635,18817,32.7,22,26394,72.6,38.2,5,10.2
Dayton,OH,Metro,310M400US19380,650644,5.7,82.3,8.3,2.3,2.4,0.7,4,21.6,7.7,5.3,9.3,9.7,13.9,17.7,12.8,13.4,5.8,4.4,54942,19287,32.6,23.6,27846,67.4,40.1,6.3,10.4
Decatur,AL,Metro,310M400US19460,121962,3.9,87.7,7.2,0.3,0.4,1.1,3.3,24.2,6.2,4.4,11.7,12.6,15.4,17.2,10.8,14.1,5.5,2,49133,18587,37.7,26.4,28829,67.7,37.5,9.1,11.3
Decatur,IL,Metro,310M400US19500,84164,7,85.2,8.1,0.6,2.7,1.2,2.2,17.9,6.7,6.2,11,10.2,15.9,17.9,12.1,12.9,3.4,3.7,50066,18000,34.5,23.8,20723,66.9,44.6,4.9,12.4
Deltona-Daytona Beach-Ormond Beach,FL,Metro,310M400US19660,559164,4.2,80.2,7.4,0.6,0.9,2.5,8.4,26.2,6.7,4.5,10,11.1,15.6,19.7,12.5,12,3.7,4.2,51364,19083,44.2,26.1,28941,62.6,41.4,11.8,7.7
Denver-Aurora-Lakewood,CO,Metro,310M400US19740,2349994,3.4,75,8.2,3.8,2.4,2,8.7,28,4.1,2.6,6,6.8,10.9,16.9,13.2,19.2,9.6,10.7,79478,26318,23.3,15.2,31674,72.3,30.1,7.1,5.1
Des Moines-West Des Moines,IA,Metro,310M400US19780,508393,3.3,83.7,7.7,1.2,1.3,0.8,5.3,21.1,4.1,2.9,7.4,7.9,12,18.2,14.9,18.2,7.5,6.9,71352,18614,26.5,16.4,22123,78.4,31,4.3,5.9
Detroit-Warren-Dearborn,MI,Metro,310M400US19820,3486955,5.6,83.2,8.6,1.3,1.4,1.2,4.3,27.3,7.6,4.3,8.9,9.2,12.5,16.9,12.4,15,6.8,6.4,60513,22605,33.5,21.3,24721,70.3,38.7,5.4,10.2
Dothan,AL,Metro,310M400US20020,118751,6.5,88.4,7.4,0,0.6,0.9,2.7,22.4,10.8,6.4,12.3,10.5,12.8,18.1,10.7,12.6,3.5,2.3,45152,16913,39.6,21.7,23778,60.3,42.2,12,12.9
Dover,DE,Metro,310M400US20100,141800,4.4,82,9.6,0.8,2.6,1.1,3.9,26.6,6.3,4.5,10.7,11.1,13,19.2,12.8,14.4,4.6,3.4,54419,15387,38.1,25.4,24408,64.8,44.9,6,11.2
DuBois,PA,Micro,310M400US20180,66451,3.9,80.7,11.5,0.4,2.1,1.1,4.1,31.4,8.1,4.9,15.5,9.7,16.2,17.9,9.3,12.5,4.2,1.7,46205,14988,41.6,25,16811,67.1,46.8,4.3,11.6
Dubuque,IA,Metro,310M400US20220,77985,3.3,85.6,6.9,0.5,2.7,1,3.3,17.4,6.8,3.7,9.8,8.9,12.7,19.8,15.5,14.1,4.3,4.4,60225,15635,33,18.9,18540,76.8,35.4,2.9,6.7
Duluth,MN-WI,Metro,310M400US20260,230568,4.6,80.4,7.9,2.1,4.4,1.7,3.5,20.5,5.5,5.4,10.5,10.8,14.7,18.4,12.6,14.6,4.3,3.2,53767,15513,36.2,23.2,21420,73.9,39.2,4.5,7.4
Dunn,NC,Micro,310M400US20380,103270,6.6,86.4,7.7,0,1,1.5,3.4,30.9,5.4,6.1,11.6,8,17.8,19.7,13.8,11.7,4,2,51022,13118,30.9,24.3,23874,63.2,35.9,12.5,12.2
Durham-Chapel Hill,NC,Metro,310M400US20500,471051,3.3,75.8,8.6,3.4,3.2,2.3,6.7,24.2,5.6,3.7,8.1,10.5,12.8,17.4,11.9,13.8,6.6,9.7,62114,30632,27.5,17.7,29091,72.7,28.9,9.6,7.6
East Stroudsburg,PA,Metro,310M400US20700,140323,6.7,72.2,14.5,5.6,1.8,1.7,4.2,38.5,5.4,5.7,8.9,6,13.4,18.2,16.3,16,4.8,5.2,64170,13982,37.9,21,24579,67.7,40.3,7.4,10.1
Eau Claire,WI,Metro,310M400US20740,137803,3.3,81.6,7.3,0.8,1.8,1.2,7.2,20.1,5.5,4.4,9,10.9,11,22,13.9,16.8,3.7,2.9,60081,13400,32.5,20.1,22320,77.4,32.1,5.7,6.9
El Centro,CA,Metro,310M400US20940,136416,12.8,81.4,7.1,1.3,1.9,0.9,7.4,24.5,9.6,7.9,11.8,7.9,13.3,17,15.8,11.9,2.5,2.3,48984,11702,33.8,15,21386,46.6,55,7,19.8
El Paso,TX,Metro,310M400US21340,642514,6.4,81.6,9.8,1.2,1.5,2,3.9,23.5,9.5,6.3,14,11.8,14.1,17.6,9.7,10.5,3.9,2.6,43862,17708,28.4,14.4,27296,51.6,33.5,22.1,17.8
Elizabeth City,NC,Micro,310M400US21020,52647,5.4,84.5,10.5,0.4,2.5,0.8,1.3,29.3,8,4.8,13.5,11,12.1,16.6,13.5,15.6,2.6,2.2,50391,11419,42.1,28.9,20741,64.6,41,10.6,12.6
Elizabethtown-Fort Knox,KY,Metro,310M400US21060,119304,4.6,83.9,11.7,0.5,0.6,0.9,2.5,23,6.4,4.7,10.9,12.3,14.2,17.8,12.3,14.7,3.6,3.1,51147,21743,31.5,24.4,31728,68.5,43.8,4.5,10.9
Elkhart-Goshen,IN,Metro,310M400US21140,155311,4.7,78.1,14.6,0.1,1.5,2,3.7,19.5,5.6,2.3,9.8,8.7,14.6,22.8,15.2,12.9,4.6,3.5,58350,13536,30,13.3,16873,60.6,35.2,15.7,9.4
Elmira,NY,Metro,310M400US21300,68809,4.4,85.4,6.7,1.8,2.5,1.4,2.2,19.7,8.3,6,9.3,11.4,12.5,19.6,12.9,14.6,2.2,3.3,53005,19844,38.1,24.8,22773,67.5,44.4,3.1,7.3
