geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Lubbock,TX,Metro,310M400US31180,250454,3.3,78.3,13.4,1.2,2.1,1.1,4,16.5,9.3,5.5,12,9.4,13.8,15.6,12.9,13.4,4.5,3.7,49974,20286,25.3,13.5,25000,69.6,28.7,12,10.7
Lufkin,TX,Micro,310M400US31260,67221,5.6,72.6,19.2,0,2.1,1.4,4.7,21.9,7.3,6.1,11.6,14.9,13.2,20.1,11.2,8.9,5.6,1.1,47519,11224,33.5,24.1,20228,50.6,41,19.6,14.9
Lumberton,NC,Micro,310M400US31300,103123,4.7,88.3,7.7,0.5,0.7,1.1,1.6,24.5,14,8.1,13.7,14.2,14.6,17.3,8.8,6.8,1.9,0.7,35037,11884,34.7,20,19964,47.9,47.1,14.7,18.9
Lynchburg,VA,Metro,310M400US31340,219117,5,82.5,8.2,1.2,2.1,2.1,4,23.5,5.2,5.1,11.7,13.2,13.3,18.1,13.8,13,3.9,2.6,51143,16599,37.7,24.3,21269,70,34.7,9.7,8
Macon-Bibb County,GA,Metro,310M400US31420,179700,7.8,84.8,8.6,1.2,2.8,0.9,1.7,22.6,13.2,5.8,12.5,11.2,12.9,16.8,11.6,9.2,3.6,3,42615,16749,37.9,20.6,23201,57.7,40.6,14.7,19.7
Madera,CA,Metro,310M400US31460,119395,11.5,75.7,12,0.1,0.8,7.6,3.7,31.8,5.2,4.5,8.7,9.4,16.4,21.8,11.3,13.7,4.5,4.4,56305,15512,35.3,20.4,30806,54.4,55.8,9.4,17.8
Madison,WI,Metro,310M400US31540,539502,1.8,76.1,6.6,3.9,5.5,3.4,4.6,21.5,4.5,2.4,6.9,7.6,12.9,19,13.3,18.6,7.1,7.7,70463,23101,25.5,18.1,28801,83,25.2,3.9,4.3
Manchester-Nashua,NH,Metro,310M400US31700,340143,3.9,81.8,7.5,1.4,1.9,1,6.5,28.7,4,2.3,7.3,8.2,10,15,14.9,18.6,8.7,10.9,78978,23978,30.5,17.6,23748,75.9,29.7,6.1,5.1
Manhattan,KS,Metro,310M400US31740,80654,5.9,75.9,8.4,0.2,6.8,2,6.7,16.5,7.8,3.6,14.4,10.3,14.6,16,13.3,11.2,5.1,3.6,49200,18346,24,17.4,33964,82.2,25.2,4.8,8.3
Manitowoc,WI,Micro,310M400US31820,64781,1.3,86.9,5,0.1,2.3,1.6,4.1,20.1,4.1,4.6,11.8,10.3,16.2,20.8,13.4,12.4,4.1,2.3,54393,12335,36.1,17.6,17541,75.4,36.4,5.1,7.7
Mankato-North Mankato,MN,Metro,310M400US31860,82972,1.6,80,6.3,1.4,2.1,1.6,8.6,19.1,3.7,6.3,9.2,10,12.2,18.6,15.5,15.6,5.6,3.3,60255,15729,27.7,13.6,24976,79.4,30.7,2.9,7
Mansfield,OH,Metro,310M400US31900,98254,4.4,84.9,8.7,0.2,1.1,0.4,4.7,23.2,8.9,5.9,10.3,9.2,16,22.2,11.6,11.4,2.6,2,49564,11974,40.8,23.6,19494,66.6,41.2,8.4,10.9
Marinette,WI-MI,Micro,310M400US31940,53052,3.2,83.6,8.8,0.1,3.6,1.1,2.9,20.8,6.3,7.1,12.1,11.2,14.7,23.7,12.9,7.5,2,2.5,48215,11971,40.9,23.5,17090,69,43.9,4.3,9
Marion,OH,Micro,310M400US32020,52627,4.2,79.3,15.4,0.5,0.7,1.3,2.8,24.2,10.3,5.8,12.6,10.6,17.9,18.1,12.2,7.5,3.7,1.4,43008,11534,38.3,24.9,19320,54.5,52.8,6.6,12.6
Marion,IN,Micro,310M400US31980,54145,6.6,73.3,9,0,8.9,3.8,4.9,19.2,6.7,6.6,13.1,10.9,18.2,20,12.6,9.5,1.8,0.6,44839,9898,40.2,24.9,11909,64.4,46.6,7.1,15.8
Marquette,MI,Micro,310M400US32100,55205,5.7,78.6,8,0.3,7.3,2.7,3.2,17.5,7,4.6,7.9,9.4,16.1,21.3,18,9.5,3.5,2.7,54779,11696,37,29.5,26185,77.1,38.4,4.8,8
Marshall,TX,Micro,310M400US32220,52209,4.8,82.7,8.2,0,2,1.5,5.6,21.5,7.7,4.6,10.3,8.5,18.1,16.3,12.6,15.2,2.9,3.7,50561,18355,37.9,21.6,16256,58.3,38.4,14.4,7.6
Martinsville,VA,Micro,310M400US32300,55198,5.4,86.6,8.4,0.5,0.7,1.7,2.1,22.2,14.3,10,13.4,17.5,15.8,13.1,8.2,5.8,0.7,1.1,30040,12552,47.9,20.5,13937,48.4,50.5,13.4,22.1
Mayaguez,PR,Metro,310M400US32420,75056,24.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23.3,41.5,12.5,18.5,8,8.5,5.7,2.5,1.7,0.3,0.8,12913,10591,50.4,18.7,16690,38.9,66.8,3.1,45.8
McAllen-Edinburg-Mission,TX,Metro,310M400US32580,614895,6.3,79.7,9.1,0.1,1.1,3.6,6.4,22.6,12.3,9,13.5,11.5,13.2,16.4,9.4,9.6,2.9,2.3,39165,16793,28.1,11.4,24904,37,37.2,30.6,27.8
Meadville,PA,Micro,310M400US32740,69543,5.5,76.3,11.1,0.8,5.5,0.9,5.4,22.1,5.3,6,10.6,12.9,13.3,21.6,14.6,10.5,3,2.1,51502,13143,42,25.7,19333,68.4,42.5,7.7,8
Medford,OR,Metro,310M400US32780,180233,5.4,75.3,9.5,1.8,4.6,2,6.7,19.4,6.7,2.9,11.2,10.3,13.7,19.5,14.3,13,3.9,4.5,56546,18551,38.8,20.3,29748,60.8,48.1,7.1,10
Memphis,TN-MS-AR,Metro,310M400US32820,1056054,7.5,86.1,9,0.7,0.9,0.9,2.5,24.2,8.8,5.8,10.8,10.6,13.5,17.1,11.2,12.4,4.8,4.8,50338,21159,29.9,17,26378,63.8,35.5,12,14.1
Merced,CA,Metro,310M400US32900,203248,10.3,79.1,9.7,0.6,2.1,6.2,2.3,29.1,6.4,5.2,9.3,11.1,12.5,18.1,15,14.3,4,4.3,57745,18968,28.5,16,29028,48,53.6,8,16.1
Meridian,MS,Micro,310M400US32940,79877,7.4,84.5,10.7,0,1.1,1.9,1.8,22.9,16.8,8.9,11.3,9.7,15.9,15.5,7.8,8.2,4.2,1.6,37816,16991,40.1,17.9,18472,58.9,44.7,9.2,18.7
Miami-Fort Lauderdale-West Palm Beach,FL,Metro,310M400US33100,5089225,5.1,77.7,9.2,3.1,1.4,2.8,5.7,30.5,7.4,4.4,10.2,9.5,13.1,17.7,11.5,13,5.9,7.4,56328,29363,33.3,12.8,28004,58.7,33.4,15.2,10.9
Michigan City-La Porte,IN,Metro,310M400US33140,89123,6,83.2,9.6,1.6,2.3,0.5,2.8,24.6,5.2,7.1,12,9.1,14.6,19.6,14.4,10.5,4.6,2.9,51584,17081,39.3,22.1,25976,67.4,41.8,7.3,12.2
Midland,MI,Metro,310M400US33220,67552,5.5,83.7,10.1,0.5,1.4,0.8,3.5,22.7,6.1,4.5,9.5,11.6,11.7,19,12.9,12.6,5.3,6.8,56091,25417,37,27.6,26718,72.2,42,3.9,11.2
Midland,TX,Metro,310M400US33260,130723,1.8,82.8,9.5,0.1,0.8,2.8,4,20.4,3.7,4.1,6.5,5.7,10.2,15.5,16.1,18.7,8.7,11,80747,29763,22.6,13.7,21835,73.5,22.9,12.2,7.8
Milwaukee-Waukesha-West Allis,WI,Metro,310M400US33340,1254071,3.7,81.5,7.5,2.6,2.3,1.1,5,23,6.2,4.7,8.9,9.1,13.1,17.2,12.4,15.5,6.4,6.4,60643,24188,30.5,18,24249,71.8,34.1,5.4,9
Minneapolis-St. Paul-Bloomington,MN-WI,Metro,310M400US33460,2866310,3.2,77.4,8.1,4.5,2.4,1.7,5.9,25.5,4.1,2.9,5.9,7,10.8,16.5,13.9,19.5,9.5,10,79578,24622,26.3,16.5,28028,77.8,30,4.3,5
Minot,ND,Micro,310M400US33500,60108,3.2,84.7,10.7,1.2,1.3,0.3,1.7,21,7.8,6.4,8.2,7.9,10.9,19,14.7,15.9,5.3,3.9,65085,8095,25.6,11.6,20221,85,25.8,4.2,4.3
Missoula,MT,Metro,310M400US33540,98913,2.8,70.9,12,1.4,6.9,4.2,4.5,18.2,7,5.1,6.3,10.4,13.4,22.6,12.4,13.3,5.4,4.1,56598,18334,28.3,15.3,22552,72.6,34.5,5.6,5.3
Mobile,AL,Metro,310M400US33660,328844,5.6,85.5,7.7,0.3,1.1,1.5,3.9,24.9,9.5,7,13.8,10.7,14.4,17.2,11.8,9.8,3.1,2.7,43061,17718,34.6,21.9,19837,58.8,40.5,12,15.1
Modesto,CA,Metro,310M400US33700,418513,8.8,83.2,8.2,1,1.2,0.9,5.5,31.1,5.1,4.4,10.2,9,12.8,19.4,12.1,15.9,5.7,5.4,60321,18049,30.7,16.8,24208,58.5,45.7,5.3,11.8
Monroe,LA,Metro,310M400US33740,138767,7.2,83.4,10,1.3,1.2,0.5,3.6,23.7,12.2,5.1,12.3,12.4,12,16.6,9.3,11.5,4.5,4.1,44353,22589,31.4,16.9,23469,60.2,44.3,8.4,14.8
Monroe,MI,Metro,310M400US33780,122210,4.6,87.6,7.4,0.2,1.1,1,2.8,26.9,4.3,4.8,7.4,9.1,12.9,20.7,13.7,16.3,7,3.8,61916,16018,38.3,25.1,20850,78.5,35.3,2.9,6.6
Montgomery,AL,Metro,310M400US33860,298057,5.7,86.4,7.9,0.3,1.8,0.8,2.8,23.2,9.3,5,12,8.1,13.2,17.7,13.9,12.2,4.9,3.8,51943,20044,35.1,20.2,26896,64.9,38.6,10.2,13.8
Morehead City,NC,Micro,310M400US33980,58873,4.5,82.3,7.4,1,1.2,2.7,5.3,24.5,4.6,4,9.2,12.4,14.7,21.8,13.7,12.6,3.4,3.6,54833,14106,46.4,32.4,26555,70.1,41.3,12.1,3.6
Morgantown,WV,Metro,310M400US34060,118793,7.1,77.7,10.5,1.4,5.1,0.5,4.8,23.7,10.7,4.9,8.6,10.6,14.6,17.3,9.3,12.9,5.4,5.6,50574,25078,29.6,21.8,22524,76.4,31.6,5,8.6
Morristown,TN,Metro,310M400US34100,95938,6.7,84.9,10.3,0.4,0.4,0.2,3.9,23.6,5.7,4.8,14.8,10.8,16.8,19.4,13.5,9.3,2.5,2.4,47439,15544,46.6,20.6,23534,61.4,42.4,10.2,11.4
Moses Lake,WA,Micro,310M400US34180,71819,2.9,76.6,12.9,0.5,3.2,3.1,3.7,18.4,6.7,2.4,14.4,7.4,17.1,15.7,15.8,14,4.2,2.3,53057,13818,32.5,17,25565,51.7,44.5,12.2,7.4
Mount Airy,NC,Micro,310M400US34340,58278,3.1,88.9,8.3,0.1,0.6,0.8,1.3,25.9,8.8,7.4,11.4,11.9,11.5,19.7,13.9,9,3.5,3,48398,14096,42.5,17.8,21579,64.6,37.9,11.9,10.3
Mount Pleasant,MI,Micro,310M400US34380,60286,6.9,74.7,11.2,1.4,7,2,3.8,16.4,10.4,5.4,11.6,11.7,12.8,20.4,10.6,10.7,2.5,3.8,46198,17991,28.5,17.6,19782,72.1,31.8,8.9,12
Mount Vernon-Anacortes,WA,Metro,310M400US34580,103110,5.4,77.5,10.3,0.9,1.7,1.3,8.1,28.5,5.2,3.3,5.4,7.8,13.3,16.4,18.9,16.7,6.4,6.5,73206,16066,36.9,23.6,28489,67.7,41.5,7.1,5.1
Muncie,IN,Metro,310M400US34620,95928,5.7,82,6.2,1.9,4.8,1.8,3.4,20.3,9.8,5.2,15.3,13.1,13.2,17.6,13.3,7.9,1.3,3.3,41662,14168,35,22.1,15189,67,39.4,7.7,14.3
Muskegon,MI,Metro,310M400US34740,138591,5.2,86.3,9.3,0.4,1.1,0.5,2.4,22.2,5.9,6.2,8.9,12.2,16.7,19.6,11.8,12,3.7,2.9,50080,15038,38.2,23.5,18537,66.2,44.6,4,10.6
Muskogee,OK,Micro,310M400US34780,53667,4.5,86.5,6,0.5,0.5,2.3,4.2,21.9,9.1,6,10.5,13.1,15.2,19.4,9.5,11.5,3,2.6,45290,17112,38.2,17.1,22324,57.2,40,16.5,9.6
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,Metro,310M400US34820,408365,5.2,81.5,8.3,0.4,1.5,1.9,6.5,22.8,5.8,4.8,11.3,11.1,14.8,21.3,12.3,11.6,3.3,3.6,51580,16528,48.5,30,30733,63.2,44.5,12.9,8.8
Nacogdoches,TX,Micro,310M400US34860,51893,5.9,77,14.8,0.5,4.1,1.3,2.3,25,7.4,8.5,12.6,9.3,16,19.4,11.3,10,1.3,4.1,46459,14820,30.5,20.4,20615,57.3,36.2,15.5,12.7
Napa,CA,Metro,310M400US34900,114103,5.5,76.9,7.4,2.2,3.1,3.9,6.5,27.8,3.3,2.2,6.5,7.2,8.4,15.9,13.1,18.9,11.1,13.3,87025,25953,34.3,24,35448,68.5,38.8,6.8,6.6
Naples-Immokalee-Marco Island,FL,Metro,310M400US34940,321278,4.2,72.2,15.4,0.7,1.7,1.6,8.4,24.2,3.3,4.4,7.6,8,13.1,17,13.1,13.8,8,11.8,69867,42276,50.5,27.1,45051,60.4,44.7,16.2,6.7
Nashville-Davidson--Murfreesboro--Franklin,TN,Metro,310M400US34980,1534538,3.8,80.9,9.2,0.8,1.5,1.4,6.2,28.1,4.7,3.4,7.3,8.9,12.9,18.7,14.3,16.2,6.4,7.1,65919,23837,27.5,16.1,23472,71,29.4,9.7,8.6
New Bern,NC,Metro,310M400US35100,100124,7.2,78.6,12.8,0,2.1,2.2,4.4,18.9,8,6.4,11.3,12,12.8,17.8,14.2,9.9,4.2,3.3,48557,17087,42.2,27.5,24883,66.8,42.2,9.5,11.2
New Castle,PA,Micro,310M400US35260,71732,7,80,12.5,1.1,2.2,0.4,3.8,23.2,8,5.9,12.5,11.4,13.9,18.6,12.7,10.9,4.5,1.7,47853,14006,40.5,24.5,18553,67,47.3,4.8,11.8
New Haven-Milford,CT,Metro,310M400US35300,705905,5.6,77.8,8.1,3.7,3.9,1.5,5,25.2,5.8,5,7.6,8.1,11.3,16.4,12.7,15.4,8.4,9.3,67845,26498,33,18.9,28150,66.6,39.7,5.1,8.7
New Orleans-Metairie,LA,Metro,310M400US35380,1018658,6.3,78.6,9.3,2.6,2.5,2.6,4.5,26.5,9.2,5.9,11.8,9.6,13.2,15.7,11.6,12.6,5.1,5.4,50301,23421,31.1,17.3,27079,56.9,44.3,9,12.6
New Philadelphia-Dover,OH,Micro,310M400US35420,73525,4.6,83,8.5,0.1,0.7,5.2,2.5,23.5,3.5,5.9,12.4,10.7,17.8,16.2,12.6,12.3,5.3,3.2,49658,16726,39.8,20.3,19746,67.1,38.5,7.8,9.3
New York-Newark-Jersey City,NY-NJ-PA,Metro,310M400US35620,16174055,5,50.3,6.3,30.9,5.5,2.4,4.7,37.6,6.4,4.1,7.7,6.8,9.1,13.9,11.5,16.5,9.6,14.3,78478,36773,29.8,16.6,31806,67.7,36.4,6.7,9.4
Niles-Benton Harbor,MI,Metro,310M400US35660,123766,4.7,81.3,11.1,0.7,2.6,1.2,3.1,21,6.6,5.7,12,10.1,14.5,18,11.9,11.9,4.8,4.6,51262,22467,36.5,19.6,19543,69,41.3,6.9,11.1
North Port-Sarasota-Bradenton,FL,Metro,310M400US35840,704555,4,79.1,9.1,0.5,0.9,1.9,8.5,24.9,4.8,4,8.4,10.1,13.6,19.2,12.4,15.1,5.2,7,60921,26805,51.9,29.2,32935,65.4,43.6,12.7,6.1
North Wilkesboro,NC,Micro,310M400US35900,56324,6.9,84.8,11.1,0,0,1.4,2.6,29.4,7.1,7.7,15.1,13.2,14.8,22,7.2,6.5,2.7,3.7,43466,20071,48.9,17.7,16254,59.8,43.5,10.3,13.9
Norwich-New London,CT,Metro,310M400US35980,221413,5.6,80.3,8.2,1.4,2.8,1.2,6.1,23.4,4.5,4.4,8.1,6.2,10.9,20,13,17.1,8.9,7,67197,21355,34.1,24,28379,71.5,38.5,4.7,6.5
Oak Harbor,WA,Micro,310M400US36020,71556,7.3,75.4,10.3,3.2,3.7,1.3,6.1,29.1,5.2,1.9,6.7,7.8,13.7,22,14,16,5.8,6.9,64793,22401,42.8,33.7,25134,74.9,44.6,5.2,3
Ocala,FL,Metro,310M400US36100,302081,9.5,80.7,9.3,0.4,0.3,1.7,7.6,27,7.8,4.6,13.8,12.8,16.2,18,10.2,11.4,2.4,2.9,44576,16775,52.7,29.3,25986,55.3,49.9,12.7,10.7
Ocean City,NJ,Metro,310M400US36140,79952,6.1,82.2,6.8,1.5,4.3,2.9,2.4,22.7,4.6,3.6,8.6,7.9,12.2,17.2,15.1,14.3,7.7,8.8,67007,30902,45.9,28.7,30734,76.5,39.7,4.8,7.1
Odessa,TX,Metro,310M400US36220,117708,4.4,82.4,12.6,0.5,0.7,1.1,2.8,26.1,4.3,3.3,8.2,9.8,11.3,19.9,14,15.3,6.9,7.2,64165,24235,20.8,10.3,20161,65.3,22.2,19.7,8.7
Ogden-Clearfield,UT,Metro,310M400US36260,491554,3,80.2,9.9,1.5,1.4,1.6,5.5,22.9,3.6,1.9,5.3,7,12.1,18.6,17.6,21.2,7.6,5.2,76653,13117,23.8,20.1,29697,82.7,20.4,6.8,5
Ogdensburg-Massena,NY,Micro,310M400US36300,89174,4.3,80.7,9.9,0.5,5.4,0.7,2.8,20.7,6.5,6.2,12.7,9.5,15.4,17.1,11.3,13.7,4.7,3,49681,16099,38.1,23.4,23228,71.4,42.3,3.9,10.2
Oklahoma City,OK,Metro,310M400US36420,1086472,3.6,82.9,8.8,0.6,2.1,1.3,4.2,22.9,6,4.2,9.2,9.9,14.1,19.3,13.2,13.5,5.3,5.2,57485,21286,28.3,18.2,25202,67.7,31.3,13.1,10.2
Olean,NY,Micro,310M400US36460,62371,5.9,80.4,9.5,0.2,4.3,1.7,3.8,20.1,5.5,5.9,12.9,12.4,15,18.3,13.7,11.4,2.5,2.3,48179,12599,36,24.1,19068,65.2,43.9,7,12.5
Olympia-Tumwater,WA,Metro,310M400US36500,232674,4.9,77.2,11.2,1.6,2.3,1.4,6.4,27.8,3.5,3,6.8,6.3,13.3,18.5,16,17.9,8.8,5.9,72703,15511,34.9,25.4,30672,75.2,37.4,4.9,4.6
Omaha-Council Bluffs,NE-IA,Metro,310M400US36540,728218,3.8,83.8,8.4,0.7,1.7,1.2,4.3,20.3,5,3.9,7.8,8.3,12.4,18.4,13.5,17.7,6.7,6.2,66241,22403,27.6,16.6,26132,74.8,27.4,8.6,6.3
Opelousas,LA,Micro,310M400US36660,63347,8.7,84.7,10,0.7,0.7,1.1,2.8,26.7,20.5,8.4,13.1,10,12.8,13.5,8.2,9.3,1.6,2.7,32867,19223,36.3,14.5,19219,51.4,48.1,10.4,29.4
Orangeburg,SC,Micro,310M400US36700,69585,7.2,83.4,8.3,0.2,1.7,1.1,5.2,27.4,14.7,8.4,11.7,13.2,17.8,17.3,8.3,5.8,0.7,2.1,36536,10498,39.5,23.3,14857,50.7,50.5,11,21.7
Orlando-Kissimmee-Sanford,FL,Metro,310M400US36740,2073840,4.8,80.3,10.4,1.3,1.1,1.9,5,29,5.9,3.5,9.4,10.4,13.6,18.7,12.8,14.7,4.9,6.1,58610,21998,30.3,16.3,25002,65.1,32.2,12.2,9.8
Oshkosh-Neenah,WI,Metro,310M400US36780,140227,3.8,86.4,6.9,0.5,1.8,1.8,2.5,18.5,5.5,3.2,10.7,10.5,13.7,20.6,14.3,14.2,3.7,3.6,56589,18568,30.7,17.2,22505,76.9,31.7,4.6,5.6
Ottawa-Peru,IL,Micro,310M400US36860,120775,4.5,86.3,7.1,0,1.1,1.8,3.8,24.2,5.4,5,11.8,10.5,14.7,19.1,11.9,13,5,3.7,52572,19445,37.4,24.3,23932,70.2,40.6,4.7,12.5
Owensboro,KY,Metro,310M400US36980,93121,4,88.1,7.4,0.1,1.3,0.5,2.8,19.7,6.6,4.4,11,11.4,14.3,20.8,11.2,14.1,3.7,2.5,51459,15813,36.7,20.3,21396,66.1,42.7,4.9,12.5
Owosso,MI,Micro,310M400US37020,55620,4.1,85.7,8.8,0.4,0.9,0.8,3.5,26.9,4.2,3.8,8.3,11.6,18.5,21.9,13.1,11.8,4.2,2.7,54456,15771,38.3,25.1,20559,73.7,40.8,4.8,6.6
Oxnard-Thousand Oaks-Ventura,CA,Metro,310M400US37100,679810,4.4,79.3,10.7,1.1,1.8,1.1,6,27,3.6,2.8,6,6.2,10.8,14.1,14.4,19,10.6,12.4,84566,25871,32.9,19.5,35601,66.7,35.2,8.4,6.1
Paducah,KY-IL,Micro,310M400US37140,78681,3.4,86.8,8.6,0.7,1,1.5,1.4,18.7,5.8,7,15.2,10.3,14.4,18.9,11.8,9.2,3.2,4.2,47346,26784,40.8,24.9,32193,58.4,52,5.8,11.8
Palatka,FL,Micro,310M400US37260,60519,10.5,78,12.8,0,0.3,2.1,6.8,33.7,6.9,9.4,14.4,13.6,15.4,17.8,9.8,8.7,2.5,1.4,41608,13501,50.2,26.6,22127,47.2,50.1,18.8,10.6
Palm Bay-Melbourne-Titusville,FL,Metro,310M400US37340,500565,4.9,81,8.8,0.7,1,2.2,6.3,25.4,5.3,4.9,9.4,9.8,13.5,18.5,13.4,15.4,5.5,4.3,57888,17716,45.3,26.6,30758,68.1,39,10.1,7.4
Panama City,FL,Metro,310M400US37460,164814,5.3,80.9,9.9,0.6,2.7,2.2,3.7,23.7,5.2,5.6,9.9,7.4,19.6,20.2,12.8,13.1,3.4,2.6,51842,16829,35.1,24.5,28381,64.6,39.3,12.3,8.7
Parkersburg-Vienna,WV,Metro,310M400US37620,75158,3.9,84,9.2,1,1.7,0.9,3.2,23.5,7.2,6.2,15.9,11.9,14.3,15.7,11.8,10.5,4.2,2.3,44054,15757,40.1,24.9,20208,64.6,46.1,6.7,11.2
Pensacola-Ferry Pass-Brent,FL,Metro,310M400US37860,401176,5.7,78,9.6,0.6,2.4,2,7.5,26.1,5.8,3.7,8.7,9.1,16.4,19.3,13.5,13.9,4,5.5,57998,19338,34.8,28,24381,69,35.9,10,7.8
Peoria,IL,Metro,310M400US37900,292926,4.8,85.9,7.2,0.7,2,0.6,3.6,19.8,7.1,4,9.8,8.4,13.2,21,12.6,14,5.3,4.5,58603,17620,33.8,24,26858,73.3,36.8,5.4,8.7
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,Metro,310M400US37980,4925297,5.7,72.3,7.2,9.8,3.4,1.8,5.5,30.5,6.6,3.7,7.8,7.8,10.2,16.4,12.4,16.3,8.7,10.2,70747,28330,31.9,19.1,27029,72.5,35.3,5.3,8.3
Phoenix-Mesa-Scottsdale,AZ,Metro,310M400US38060,3834872,4.8,75.8,11.2,1.8,1.3,2.6,7.4,26.7,5,3,8.3,8.8,12.8,19,13.9,15.8,6.5,7.1,64427,23008,31.2,18.9,27522,64.9,35.3,10.7,8.7
Pine Bluff,AR,Metro,310M400US38220,73892,7.2,88.4,6.3,0.3,0.9,2.6,1.5,22.3,10.3,7.2,18,12,11.5,15.8,12.1,8.7,2.4,1.9,37314,17129,40.5,18.6,22848,58.1,48.8,6.9,17.8
Pinehurst-Southern Pines,NC,Micro,310M400US38240,81077,3.8,78.4,10.6,0,1.5,0.2,9.2,23.4,7.1,4.3,8.8,8,13.2,20.6,13.4,11.4,5.8,7.4,58531,22189,38.3,27.2,29642,71.2,41.3,9.6,7.2
Pittsburgh,PA,Metro,310M400US38300,1936873,4.3,76.6,8.3,5.6,3.4,1,5.1,26.8,6.4,4.6,9.6,9.8,12.2,17.3,12.6,15.5,6,6,59710,22016,36.6,21.8,22371,77,36.2,3.5,6.6
Pittsfield,MA,Metro,310M400US38340,108235,4.3,78.9,7,0.5,6.9,1.5,5.2,20.9,6.4,5.8,10.7,7.8,13.1,16.2,13.2,16.2,5.4,5.1,60476,16909,40.6,22.6,30566,71.1,45.4,2.4,6.1
Plattsburgh,NY,Micro,310M400US38460,67958,3.8,82.5,9,0.2,3.3,2.2,2.8,20,6.3,4.5,8.4,7.5,15,20.7,14,15.5,4.8,3.4,56704,14104,38.9,29.5,27894,70.9,42.2,3.2,8.4
Pocatello,ID,Metro,310M400US38540,67606,5.7,81.2,8,1.7,2.8,1.2,5.1,16,6.6,6.2,9,10.4,17.2,18,13.7,13.1,3.6,2.2,50748,12942,33.5,18.6,23272,72,31.5,11.1,7.7
Ponce,PR,Metro,310M400US38660,238834,15.3,87.1,7.1,0,1.7,2.4,1.7,24.9,29.7,14,20.5,12.7,11.4,6.5,3.1,1.3,0.4,0.3,17607,8737,43.2,15.3,20759,32,68.6,5,46.1
Port Angeles,WA,Micro,310M400US38820,65156,5.2,79.8,8.3,0.9,4.2,0.8,6,22.4,5.7,6,11,9.2,12,20.5,13.8,12.5,5.2,4.2,59001,12616,47.4,32.2,25706,61.5,49.5,9.2,7.6
Port St. Lucie,FL,Metro,310M400US38940,403409,4.9,80.7,8.7,0.4,1.1,1.8,7.3,26.6,5.6,5,9.8,9.9,14.6,18.7,12.2,13.4,4.7,6.1,55714,23681,47,26.8,29137,59.9,42.9,13,7.4
Portland-South Portland,ME,Metro,310M400US38860,447188,2.2,77.5,8.2,1,4.6,1.7,7,24.5,4.3,4.2,7.3,7.8,11.9,17.5,14.9,17.8,7.6,6.6,69980,18401,33.8,19.8,27180,77.5,30.4,5.8,4.3
Portland-Vancouver-Hillsboro,OR-WA,Metro,310M400US38900,2007800,4.1,70.4,8.8,6.1,3.4,3.1,8.1,26.9,4.4,2.9,6.6,7.5,11.2,17,13.7,18.9,8.6,9.3,75599,23543,27.8,17.4,28816,73.3,32.4,6.3,5.9
Portsmouth,OH,Micro,310M400US39020,61321,8.7,83.1,10.8,0,2,1.3,2.7,26.6,13.6,9.1,13.4,12.2,11.1,15.2,11.2,9.5,2.4,2.4,37257,15762,38,23.5,22697,54,53.7,7.7,17.2
Pottsville,PA,Micro,310M400US39060,117900,6.1,80.3,10,0.5,3.4,1.2,4.5,25.9,7.2,6.5,13.1,10.8,13.6,18.6,12.4,11.3,3.8,2.6,48458,15375,41.9,20.4,17935,72.5,40.8,5.1,8.5
Prescott,AZ,Metro,310M400US39140,198754,7.3,75.8,9.3,0,4.4,1.9,8.5,24.5,5.2,6.2,12.8,11.7,15.8,19.8,11.3,10.6,3.8,2.8,48148,17225,54.2,31.4,27213,60.6,51.1,11.2,8.2
Providence-Warwick,RI-MA,Metro,310M400US39300,1343034,5.3,81.3,8.5,2.4,3,1.1,3.8,26,6.3,5,8.7,8.1,10.6,17.4,12.3,16.9,7.6,7,65083,22089,33.8,19.1,26230,69.4,40.5,3.7,8.6
Provo-Orem,UT,Metro,310M400US39340,443358,3.2,73.8,11.3,2,4.1,1.9,6.8,22.4,2.8,2.4,5.8,7.5,11.8,19.4,16.4,20.4,7.2,6.4,75344,19926,20.2,14.5,27283,82.2,17.7,8.1,6.1
Pueblo,CO,Metro,310M400US39380,134639,6.6,85.4,9.6,0.7,1.3,0.6,2.3,22.6,9.6,6.5,11.3,10.6,13.5,19.2,13.4,10.3,3.6,2,48468,12297,35.7,22.6,21591,55.2,53.8,7,14
Punta Gorda,FL,Metro,310M400US39460,165477,4.7,78.9,6.4,0.6,1.1,1.4,11.6,24.5,5.2,4.2,12.6,8,16.4,22.9,12.3,9.9,3.7,4.7,52927,16659,63,35.4,31444,61.5,58.2,9,6.8
